r,p,y
6.2,-21.5,28.5
24.0,-33.9,29.8
24.1,-29.2,29.7
8.6,-12.8,27.8
4.4,-9.8,27.1
4.6,-10.0,27.2
4.9,-10.6,27.3
5.0,-10.7,27.4
17.2,-28.3,29.8
26.6,-33.9,29.9
19.8,-23.4,29.3
6.8,-11.7,27.4
4.4,-9.9,27.4
4.6,-10.3,27.5
4.9,-10.8,27.6
4.8,-11.1,27.7
22.9,-32.9,30.5
25.2,-30.6,30.2
14.0,-15.5,28.6
5.4,-10.6,27.4
4.9,-10.1,27.5
5.4,-11.0,27.8
5.4,-11.0,27.9
13.2,-25.8,29.8
26.3,-34.8,30.2
22.9,-26.8,29.9
8.8,-12.6,28.2
5.1,-10.7,28.0
5.1,-10.5,28.0
5.3,-11.0,28.0
5.4,-11.1,28.2
19.3,-29.7,30.6
26.7,-34.3,30.6
20.5,-23.8,30.1
6.6,-11.5,27.7
4.7,-10.1,28.0
4.8,-10.2,28.1
5.1,-11.0,28.2
5.4,-11.7,28.6
20.4,-30.9,31.4
26.7,-34.2,31.0
18.2,-21.1,29.8
6.5,-11.6,28.2
4.8,-10.6,28.5
5.0,-10.9,28.6
5.3,-11.5,28.7
5.7,-21.7,29.8
23.4,-34.7,31.3
23.9,-29.1,31.1
10.1,-14.3,29.5
4.9,-11.2,28.8
4.8,-10.9,28.9
5.1,-11.5,29.1
5.1,-11.5,29.1
7.5,-23.2,30.5
24.9,-35.1,31.3
23.0,-28.2,31.4
11.2,-14.9,30.0
4.9,-11.6,29.2
4.6,-10.9,29.3
5.0,-11.6,29.4
5.0,-11.7,29.6
16.9,-28.6,31.7
26.8,-34.9,31.9
19.8,-23.4,30.8
6.9,-12.2,29.1
5.1,-11.3,29.4
5.4,-11.9,29.6
5.4,-11.9,29.7
4.0,-15.1,30.0
23.0,-33.3,32.6
26.6,-33.7,32.2
17.3,-19.1,30.9
5.5,-11.9,29.8
4.8,-11.3,29.9
5.1,-11.9,30.1
5.2,-11.9,30.1
6.5,-22.8,31.1
24.2,-34.9,32.5
24.6,-30.5,32.3
11.4,-15.5,30.9
5.0,-11.9,30.1
4.8,-11.4,30.2
5.1,-11.9,30.3
5.1,-12.0,30.4
12.7,-26.8,32.4
25.2,-35.7,32.7
21.3,-26.1,32.2
7.6,-13.4,30.4
4.8,-11.3,30.4
5.1,-11.9,30.6
5.2,-12.0,30.6
5.1,-12.3,30.7
21.7,-32.4,33.3
25.9,-33.9,32.9
17.5,-19.5,31.4
5.0,-11.9,30.2
4.3,-11.2,30.3
4.7,-12.0,30.6
4.8,-12.0,30.6
9.4,-25.2,32.4
26.0,-35.9,33.0
20.8,-26.0,32.4
8.2,-13.8,30.8
4.6,-11.7,30.5
4.6,-11.6,30.5
4.9,-12.1,30.6
5.0,-12.2,30.8
18.0,-30.2,33.3
26.0,-35.9,33.3
20.3,-24.6,32.3
7.4,-13.5,30.6
4.5,-11.8,30.8
4.5,-11.7,30.8
4.8,-12.2,31.0
4.8,-12.3,31.1
19.4,-31.2,33.7
26.3,-34.4,33.7
18.1,-20.4,32.2
5.5,-12.4,31.0
4.4,-11.7,31.1
4.8,-12.5,31.3
4.9,-12.5,31.3
3.3,-20.4,31.9
23.7,-35.2,34.1
24.5,-31.3,33.9
12.4,-16.5,32.4
4.7,-12.4,31.4
4.6,-12.1,31.6
4.9,-12.7,31.7
5.0,-12.7,31.8
10.5,-26.5,33.7
25.6,-36.6,34.2
21.3,-27.6,33.8
7.1,-14.0,31.9
4.6,-12.0,31.7
4.8,-12.4,31.8
5.2,-13.0,31.9
5.2,-13.3,32.1
